card1,card2,archetype,weight
Go for the Throat,Underground River,Sultai Control,0.8947808320300904
Go for the Throat,Underground River,Faeries,0.7357489573097102
Go for the Throat,Underground River,Sultai Midrange,0.6878910838560376
Go for the Throat,Underground River,Self-Bounce,0.6387548512775308
Go for the Throat,Spyglass Siren,Dimir Midrange,0.8960446447040684
Go for the Throat,Spyglass Siren,Faeries,0.7357489573097102
Go for the Throat,Spyglass Siren,Self-Bounce,0.7064766974672294
Faerie Mastermind,Go for the Throat,Demons,1
Faerie Mastermind,Go for the Throat,Dimir Midrange,0.8485085312262007
Faerie Mastermind,Go for the Throat,Faeries,0.7357489573097102
Cut Down,Go for the Throat,Legends,1
Cut Down,Go for the Throat,Draws,1
Cut Down,Go for the Throat,Sultai Midrange,0.9311597041225679
Cut Down,Go for the Throat,Dimir Tempo,0.8947808320300904
Cut Down,Go for the Throat,Sultai Control,0.8947808320300904
Cut Down,Go for the Throat,Golgari Midrange,0.8842446900813798
Cut Down,Go for the Throat,Token Control,0.8760628249245221
Cut Down,Go for the Throat,Dimir Midrange,0.8400650336042567
Cut Down,Go for the Throat,Dimir Control,0.8062997356584981
Cut Down,Go for the Throat,Mono-Black Midrange,0.7315859672778942
Cut Down,Go for the Throat,Domain,0.671963725649382
Cut Down,Go for the Throat,Zur,0.671963725649382
Cut Down,Go for the Throat,Demons,0.6460160066870647
Cut Down,Go for the Throat,Floodcaller Combo,0.5543658066825486
Cut Down,Go for the Throat,Abzan Control,0.5407968160325296
Cut Down,Go for the Throat,Faeries,0.5127592191483957
Cut Down,Go for the Throat,Abzan Midrange,0.4831815358291909
Cut Down,Go for the Throat,Self-Bounce,0.4150347853481911
Cut Down,Go for the Throat,Golgari Control,0.29203198744884235
Go for the Throat,Island,Dimir Control,0.8976832804429803
Go for the Throat,Island,Dimir Midrange,0.89221760879536
Go for the Throat,Island,Draws,0.7771829163039172
Go for the Throat,Island,Faeries,0.7357489573097102
Go for the Throat,Island,Sultai Midrange,0.6878910838560376
Go for the Throat,Island,Dimir Tempo,0.671963725649382
Go for the Throat,Island,Self-Bounce,0.5895283856237807
Go for the Throat,Island,Floodcaller Combo,0.5543658066825486
Go for the Throat,Island,Zur,0.5407968160325296
Go for the Throat,Island,Esper Tempo,0.42319889706569536
Darkslick Shores,Go for the Throat,Legends,1
Darkslick Shores,Go for the Throat,Draws,1
Darkslick Shores,Go for the Throat,Dimir Midrange,0.8992868511738096
Darkslick Shores,Go for the Throat,Dimir Control,0.8973508790123105
Darkslick Shores,Go for the Throat,Demons,0.8947808320300904
Darkslick Shores,Go for the Throat,Dimir Tempo,0.8947808320300904
Darkslick Shores,Go for the Throat,Zur,0.7895616446162155
Darkslick Shores,Go for the Throat,Sultai Control,0.7895616446162155
Darkslick Shores,Go for the Throat,Esper Tempo,0.7771829163039172
Darkslick Shores,Go for the Throat,Sultai Midrange,0.7771829163039172
Darkslick Shores,Go for the Throat,Faeries,0.7357489573097102
Darkslick Shores,Go for the Throat,Self-Bounce,0.7208568749424598
Go for the Throat,Restless Reef,Demons,1
Go for the Throat,Restless Reef,Dimir Control,0.9311597041225679
Go for the Throat,Restless Reef,Sultai Control,0.8947808320300904
Go for the Throat,Restless Reef,Draws,0.7771829163039172
Go for the Throat,Restless Reef,Faeries,0.776700617285028
Go for the Throat,Restless Reef,Dimir Midrange,0.7132204233639324
Go for the Throat,Restless Reef,Sultai Midrange,0.6460160066870647
Go for the Throat,Restless Reef,Self-Bounce,0.4348358751008333
Go for the Throat,Sheoldred's Edict,Sultai Control,0.8947808320300904
Go for the Throat,Sheoldred's Edict,Dimir Control,0.759383253482863
Go for the Throat,Sheoldred's Edict,Demons,0.6460160066870647
Go for the Throat,Sheoldred's Edict,Dimir Midrange,0.5536418077341133
Go for the Throat,Sheoldred's Edict,Mono-Black Midrange,0.544437493861228
Go for the Throat,Sheoldred's Edict,Golgari Midrange,0.5436444696152364
Go for the Throat,Sheoldred's Edict,Faeries,0.29203198744884235
Go for the Throat,Sheoldred's Edict,Self-Bounce,0.29203198744884235
Gloomlake Verge,Go for the Throat,Demons,1
Gloomlake Verge,Go for the Throat,Draws,1
Gloomlake Verge,Go for the Throat,Dimir Control,0.9311597041225679
Gloomlake Verge,Go for the Throat,Dimir Midrange,0.8992868511738096
Gloomlake Verge,Go for the Throat,Dimir Tempo,0.8947808320300904
Gloomlake Verge,Go for the Throat,Sultai Control,0.8947808320300904
Gloomlake Verge,Go for the Throat,Grixis Control,0.7895616446162155
Gloomlake Verge,Go for the Throat,Faeries,0.7357489573097102
Gloomlake Verge,Go for the Throat,Self-Bounce,0.7005881377705389
Gloomlake Verge,Go for the Throat,Esper Tempo,0.671963725649382
Gloomlake Verge,Go for the Throat,Sultai Midrange,0.6460160066870647
Enduring Curiosity,Go for the Throat,Dimir Midrange,0.8481038349926708
Enduring Curiosity,Go for the Throat,Faeries,0.7357489573097102
Enduring Curiosity,Go for the Throat,Self-Bounce,0.5822338610269805
Go for the Throat,Mockingbird,Dimir Midrange,0.5775588134158657
Go for the Throat,Mockingbird,Self-Bounce,0.5215572186253982
Go for the Throat,Mockingbird,Faeries,0.46360267269659206
