card1,card2,archetype,weight
Force of Will,Island,Esper Control,0.6753486576605823
Force of Will,Island,Doomsday,0.6562261741366281
Force of Will,Island,Dimir Tempo,0.6552616894352113
Force of Will,Island,Delver,0.6499074293261174
Force of Will,Island,Cephalid Breakfast,0.6460160066870647
Force of Will,Island,Nadu Combo,0.6460160066870647
Force of Will,Island,Worldgorger Dragon Combo,0.6460160066870647
Force of Will,Island,Grixis Tempo,0.6460160066870647
Force of Will,Island,Cascade,0.6460160066870647
Force of Will,Island,Esper Tempo,0.6460160066870647
Force of Will,Island,Ocelot Pride Tempo,0.6460160066870647
Force of Will,Island,Bant Control,0.6460160066870647
Force of Will,Island,Jeskai Tempo,0.6460160066870647
Force of Will,Island,Nadu Midrange Combo,0.6459726267762246
Force of Will,Island,Reanimator,0.6459403135475513
Force of Will,Island,Vial,0.6403105064892143
Force of Will,Island,Beanstalk Control (Yorion),0.6402644301093559
Brazen Borrower,Force of Will,Cascade,1
Brazen Borrower,Force of Will,Mono-Blue Tempo,0.8947808320300904
Brazen Borrower,Force of Will,Reanimator,0.8086377998851715
Brazen Borrower,Force of Will,Death's Shadow,0.7771829163039172
Brazen Borrower,Force of Will,Jeskai Tempo,0.7771829163039172
Brazen Borrower,Force of Will,Ninjas,0.7076384222352329
Brazen Borrower,Force of Will,Beanstalk Control (Non-Yorion),0.7076384222352329
Brazen Borrower,Force of Will,Food Chain,0.7076384222352329
Brazen Borrower,Force of Will,Dimir Tempo,0.6823442026160239
Brazen Borrower,Force of Will,Delver,0.6703364220245699
Brazen Borrower,Force of Will,Stiflenought,0.6460160066870647
Brazen Borrower,Force of Will,Grixis Tempo,0.6460160066870647
Brazen Borrower,Force of Will,Grixis Control,0.6460160066870647
Brazen Borrower,Force of Will,Esper Control,0.6460160066870647
Brazen Borrower,Force of Will,Jeskai Control,0.6460160066870647
Brazen Borrower,Force of Will,Esper Tempo,0.6460160066870647
Brazen Borrower,Force of Will,Beanstalk Control (Yorion),0.6403105064892143
Force of Will,Thoughtseize,Death's Shadow,1
Force of Will,Thoughtseize,Doomsday,0.9140499507292048
Force of Will,Thoughtseize,Reanimator,0.9110448614767261
Force of Will,Thoughtseize,Omni-Tell,0.8947808320300904
Force of Will,Thoughtseize,Beanstalk Control (Yorion),0.8894573164308047
Force of Will,Thoughtseize,Dimir Tempo,0.8759468358590301
Force of Will,Thoughtseize,Delver,0.8679694004692001
Force of Will,Thoughtseize,Esper Tempo,0.8658063987939005
Force of Will,Thoughtseize,Esper Control,0.8211925476142673
Force of Will,Thoughtseize,Grixis Tempo,0.7771829163039172
Force of Will,Thoughtseize,Grixis Control,0.7771829163039172
Force of Will,Thoughtseize,Beanstalk Control (Non-Yorion),0.7771829163039172
Force of Will,Thoughtseize,Stoneblade,0.7771829163039172
Force of Will,Thoughtseize,Ninjas,0.7771829163039172
Force of Will,Thoughtseize,Worldgorger Dragon Combo,0.6460160066870647
Entomb,Force of Will,Reanimator,1
Entomb,Force of Will,Worldgorger Dragon Combo,1
Entomb,Force of Will,Beanstalk Control (Non-Yorion),1
Flooded Strand,Force of Will,Cephalid Breakfast,1
Flooded Strand,Force of Will,Stiflenought,1
Flooded Strand,Force of Will,Bant Control,1
Flooded Strand,Force of Will,Standstill,1
Flooded Strand,Force of Will,Beanstalk Control (Yorion),1
Flooded Strand,Force of Will,Vial,1
Flooded Strand,Force of Will,Stoneblade,1
Flooded Strand,Force of Will,Esper Control,1
Flooded Strand,Force of Will,4c Control,1
Flooded Strand,Force of Will,Blue Oracle Combo,1
Flooded Strand,Force of Will,Ocelot Pride Tempo,1
Flooded Strand,Force of Will,4C Control,1
Flooded Strand,Force of Will,Azorius Control,1
Flooded Strand,Force of Will,Jeskai Control,0.9767044743850972
Flooded Strand,Force of Will,Esper Tempo,0.9747426508955418
Flooded Strand,Force of Will,Beanstalk Control (Non-Yorion),0.9747300998548435
Flooded Strand,Force of Will,Death's Shadow,0.8947808320300904
Flooded Strand,Force of Will,High Tide,0.856370365937529
Flooded Strand,Force of Will,Delver,0.8282837830763702
Flooded Strand,Force of Will,Grixis Tempo,0.7821200887753507
Flooded Strand,Force of Will,Coveted Jewel Combo,0.7771829163039172
Flooded Strand,Force of Will,Mono-Blue Tempo,0.7771829163039172
Flooded Strand,Force of Will,Jeskai Tempo,0.7771829163039172
Flooded Strand,Force of Will,Doomsday,0.7526605604654308
Flooded Strand,Force of Will,Omni-Tell,0.7507534749894157
Flooded Strand,Force of Will,Sneak and Show,0.7117441999218581
Flooded Strand,Force of Will,Reanimator,0.7023026442723012
Flooded Strand,Force of Will,Nadu Combo,0.6992705385911079
Flooded Strand,Force of Will,Nadu Midrange Combo,0.6797466610798905
Flooded Strand,Force of Will,Dimir Tempo,0.6790607494150294
Flooded Strand,Force of Will,Worldgorger Dragon Combo,0.6460160066870647
Flooded Strand,Force of Will,Ninjas,0.6460160066870647
Fatal Push,Force of Will,Delver,1
Fatal Push,Force of Will,Beanstalk Control (Non-Yorion),1
Fatal Push,Force of Will,Dimir Tempo,0.98953910960849
Fatal Push,Force of Will,Worldgorger Dragon Combo,0.7771829163039172
Fatal Push,Force of Will,Death's Shadow,0.7771829163039172
Fatal Push,Force of Will,Grixis Control,0.7771829163039172
Fatal Push,Force of Will,Reanimator,0.752680197108537
Fatal Push,Force of Will,Ninjas,0.7318996431668993
Fatal Push,Force of Will,Doomsday,0.6838477061101766
Fatal Push,Force of Will,Grixis Tempo,0.6460160066870647
Daze,Force of Will,Mono-Blue Tempo,1
Daze,Force of Will,Grixis Tempo,1
Daze,Force of Will,Jeskai Tempo,1
Daze,Force of Will,Death's Shadow,1
Daze,Force of Will,Ocelot Pride Tempo,1
Daze,Force of Will,Infect,1
Daze,Force of Will,Azorius Control,1
Daze,Force of Will,Delver,0.997086631283568
Daze,Force of Will,Dimir Tempo,0.9869268117257354
Daze,Force of Will,Esper Control,0.9775750045657922
Daze,Force of Will,Esper Tempo,0.9618847235549609
Daze,Force of Will,Ninjas,0.9488416446220167
Daze,Force of Will,Beanstalk Control (Non-Yorion),0.9311597041225679
Daze,Force of Will,Reanimator,0.9309626343625446
Daze,Force of Will,Doomsday,0.8995012258508067
Daze,Force of Will,Worldgorger Dragon Combo,0.8947808320300904
Daze,Force of Will,Bant Control,0.8947808320300904
Daze,Force of Will,Stiflenought,0.8947626134109941
Daze,Force of Will,Beanstalk Control (Yorion),0.8896451414838565
Daze,Force of Will,Omni-Tell,0.8658063987939005
Daze,Force of Will,Stoneblade,0.8176000093904802
Daze,Force of Will,Cephalid Breakfast,0.7911468068031292
Daze,Force of Will,Coveted Jewel Combo,0.7771829163039172
Daze,Force of Will,Sneak and Show,0.7584933470245616
Brainstorm,Force of Will,Reanimator,1
Brainstorm,Force of Will,Cephalid Breakfast,1
Brainstorm,Force of Will,Dimir Tempo,1
Brainstorm,Force of Will,Coveted Jewel Combo,1
Brainstorm,Force of Will,Stiflenought,1
Brainstorm,Force of Will,Sneak and Show,1
Brainstorm,Force of Will,Delver,1
Brainstorm,Force of Will,Omni-Tell,1
Brainstorm,Force of Will,Jeskai Control,1
Brainstorm,Force of Will,Nadu Combo,1
Brainstorm,Force of Will,Bant Control,1
Brainstorm,Force of Will,Doomsday,1
Brainstorm,Force of Will,Standstill,1
Brainstorm,Force of Will,Worldgorger Dragon Combo,1
Brainstorm,Force of Will,Mono-Blue Tempo,1
Brainstorm,Force of Will,Beanstalk Control (Yorion),1
Brainstorm,Force of Will,Grixis Tempo,1
Brainstorm,Force of Will,Grixis Control,1
Brainstorm,Force of Will,Beanstalk Control (Non-Yorion),1
Brainstorm,Force of Will,Ninjas,1
Brainstorm,Force of Will,High Tide,1
Brainstorm,Force of Will,Nadu Midrange Combo,1
Brainstorm,Force of Will,Vial,1
Brainstorm,Force of Will,Aluren,1
Brainstorm,Force of Will,Jeskai Tempo,1
Brainstorm,Force of Will,Stoneblade,1
Brainstorm,Force of Will,Esper Control,1
Brainstorm,Force of Will,4c Control,1
Brainstorm,Force of Will,Esper Tempo,1
Brainstorm,Force of Will,Food Chain,1
Brainstorm,Force of Will,Death's Shadow,1
Brainstorm,Force of Will,Blue Oracle Combo,1
Brainstorm,Force of Will,Ocelot Pride Tempo,1
Brainstorm,Force of Will,4C Control,1
Brainstorm,Force of Will,Infect,1
Brainstorm,Force of Will,Azorius Control,1
Force of Will,Underground Sea,Delver,1
Force of Will,Underground Sea,Worldgorger Dragon Combo,1
Force of Will,Underground Sea,Dimir Tempo,0.9947402347742793
Force of Will,Underground Sea,Reanimator,0.9921722084554297
Force of Will,Underground Sea,Doomsday,0.959723783603034
Force of Will,Underground Sea,Omni-Tell,0.9311597041225679
Force of Will,Underground Sea,Vial,0.8896451414838565
Force of Will,Underground Sea,Grixis Tempo,0.8119270911045274
Force of Will,Underground Sea,Esper Tempo,0.7771829163039172
Force of Will,Underground Sea,Stoneblade,0.7771829163039172
Force of Will,Underground Sea,Death's Shadow,0.7771829163039172
Force of Will,Underground Sea,Esper Control,0.746213585718519
Force of Will,Underground Sea,Beanstalk Control (Non-Yorion),0.7265105353401423
Force of Will,Underground Sea,Beanstalk Control (Yorion),0.7217646874621191
