card1,card2,archetype,weight
Mox Opal,Pithing Needle,Mystic Forge Combo,0.3648393049542225
Mystic Forge,Pithing Needle,Mystic Forge Combo,0.6062422963629979
Pithing Needle,Urza's Tower,Painter,0.8072675274936902
Pithing Needle,Urza's Tower,Mystic Forge Combo,0.8070228622756754
Lotus Petal,Pithing Needle,Depths,1
Lotus Petal,Pithing Needle,Simulacrum Affinity,0.8072675274936902
Lotus Petal,Pithing Needle,8-Cast,0.8072675274936902
Lotus Petal,Pithing Needle,Mystic Forge Combo,0.8070228622756754
Lotus Petal,Pithing Needle,Painter,0.6037880791216701
Manifold Key,Pithing Needle,Painter,0.8072675274936902
Manifold Key,Pithing Needle,Mystic Forge Combo,0.8070228622756754
"Boseiju, Who Endures",Glaring Fleshraker,Mystic Forge Combo,1
"Boseiju, Who Endures",The One Ring,Mystic Forge Combo,1
"Boseiju, Who Endures",The One Ring,Lands,0.967240638298266
"Boseiju, Who Endures",The One Ring,Green Cloudpost,0.9651419060204933
"Boseiju, Who Endures",The One Ring,Beanstalk Control (Yorion),0.7814393457573755
"Boseiju, Who Endures",The One Ring,Sneak and Show,0.528833223536164
"Boseiju, Who Endures",Planar Nexus,Mystic Forge Combo,1
"Boseiju, Who Endures",Planar Nexus,Green Cloudpost,0.9711749008703954
"Boseiju, Who Endures",Vexing Bauble,Mystic Forge Combo,1
"Boseiju, Who Endures",Vexing Bauble,Sneak and Show,0.528833223536164
"Boseiju, Who Endures",Vexing Bauble,Lands,0.528833223536164
"Boseiju, Who Endures",Vexing Bauble,Depths,0.36492585015945816
Ancient Tomb,"Boseiju, Who Endures",Mystic Forge Combo,1
Ancient Tomb,"Boseiju, Who Endures",Creative Technique,1
Ancient Tomb,"Boseiju, Who Endures",Sneak and Show,0.67578466173597
Ancient Tomb,"Boseiju, Who Endures",Lands,0.6543583681714219
"Boseiju, Who Endures",Voltaic Key,Mystic Forge Combo,0.8396920351126752
"Boseiju, Who Endures",Urza's Saga,Mystic Forge Combo,1
"Boseiju, Who Endures",Urza's Saga,Lands,0.9600720798561221
"Boseiju, Who Endures",Urza's Saga,Nadu Midrange Combo,0.67578466173597
"Boseiju, Who Endures",Urza's Saga,Depths,0.47617325719295117
"Boseiju, Who Endures",Mox Opal,Mystic Forge Combo,0.67578466173597
"Boseiju, Who Endures",Mystic Forge,Mystic Forge Combo,0.98664347331248
"Boseiju, Who Endures",Urza's Tower,Mystic Forge Combo,1
"Boseiju, Who Endures",Urza's Tower,Green Cloudpost,0.9711749008703954
"Boseiju, Who Endures",Lotus Petal,Mystic Forge Combo,1
"Boseiju, Who Endures",Lotus Petal,Depths,0.8072675274936902
"Boseiju, Who Endures",Lotus Petal,Sneak and Show,0.67578466173597
"Boseiju, Who Endures",Lotus Petal,Nadu Midrange Combo,0.36492585015945816
"Boseiju, Who Endures",Manifold Key,Mystic Forge Combo,1
Glaring Fleshraker,The One Ring,Mystic Forge Combo,1
Glaring Fleshraker,The One Ring,Eldrazi,0.9483321727916532
Glaring Fleshraker,Planar Nexus,Mystic Forge Combo,1
Glaring Fleshraker,Vexing Bauble,Mystic Forge Combo,1
Glaring Fleshraker,Vexing Bauble,Eldrazi,0.8396920351126752
Ancient Tomb,Glaring Fleshraker,Mystic Forge Combo,1
Ancient Tomb,Glaring Fleshraker,Eldrazi,1
Glaring Fleshraker,Voltaic Key,Mystic Forge Combo,1
Glaring Fleshraker,Urza's Saga,Mystic Forge Combo,1
Glaring Fleshraker,Mox Opal,Mystic Forge Combo,0.8119498630139683
Glaring Fleshraker,Mystic Forge,Mystic Forge Combo,1
Glaring Fleshraker,Urza's Tower,Mystic Forge Combo,1
Glaring Fleshraker,Lotus Petal,Mystic Forge Combo,1
Glaring Fleshraker,Lotus Petal,Eldrazi,1
Glaring Fleshraker,Manifold Key,Mystic Forge Combo,1
Planar Nexus,The One Ring,Mystic Forge Combo,1
Planar Nexus,The One Ring,Green Cloudpost,1
Planar Nexus,The One Ring,Painter,1
Planar Nexus,The One Ring,Coveted Jewel Combo,1
Planar Nexus,The One Ring,Cloudpost,1
The One Ring,Vexing Bauble,Mystic Forge Combo,1
The One Ring,Vexing Bauble,Red Stompy,1
The One Ring,Vexing Bauble,Coveted Jewel Combo,1
The One Ring,Vexing Bauble,Sneak and Show,0.6927405969128703
The One Ring,Vexing Bauble,Omni-Tell,0.528833223536164
Ancient Tomb,The One Ring,Mystic Forge Combo,1
Ancient Tomb,The One Ring,Red Stompy,1
Ancient Tomb,The One Ring,Omni-Tell,1
Ancient Tomb,The One Ring,Coveted Jewel Combo,1
Ancient Tomb,The One Ring,Initiative,1
Ancient Tomb,The One Ring,Painter,1
Ancient Tomb,The One Ring,Blue Artifacts,1
Ancient Tomb,The One Ring,Cloudpost,1
Ancient Tomb,The One Ring,Eldrazi,0.9483321727916532
Ancient Tomb,The One Ring,Helm/Leyline Stompy,0.9146782082558131
Ancient Tomb,The One Ring,Sneak and Show,0.8961333199167141
The One Ring,Voltaic Key,Mystic Forge Combo,1
The One Ring,Voltaic Key,Painter,0.9711749008703954
The One Ring,Voltaic Key,Blue Artifacts,0.8072675274936902
The One Ring,Urza's Saga,Mystic Forge Combo,1
The One Ring,Urza's Saga,Painter,1
The One Ring,Urza's Saga,Coveted Jewel Combo,1
The One Ring,Urza's Saga,Blue Artifacts,1
The One Ring,Urza's Saga,Cloudpost,1
The One Ring,Urza's Saga,Red Stompy,1
The One Ring,Urza's Saga,Initiative,1
The One Ring,Urza's Saga,Lands,1
Mox Opal,The One Ring,Blue Artifacts,1
Mox Opal,The One Ring,Mystic Forge Combo,0.8119498630139683
Mox Opal,The One Ring,Coveted Jewel Combo,0.8072675274936902
Mox Opal,The One Ring,Painter,0.7947605433616424
Mystic Forge,The One Ring,Mystic Forge Combo,1
The One Ring,Urza's Tower,Mystic Forge Combo,1
The One Ring,Urza's Tower,Green Cloudpost,1
The One Ring,Urza's Tower,Painter,1
The One Ring,Urza's Tower,Coveted Jewel Combo,1
Lotus Petal,The One Ring,Mystic Forge Combo,1
Lotus Petal,The One Ring,Red Stompy,1
Lotus Petal,The One Ring,Initiative,1
Lotus Petal,The One Ring,Coveted Jewel Combo,1
Lotus Petal,The One Ring,Blue Artifacts,1
Lotus Petal,The One Ring,Beseech Storm,1
Lotus Petal,The One Ring,Painter,0.9838421151838879
Lotus Petal,The One Ring,Doomsday,0.9822331539360906
Lotus Petal,The One Ring,Sneak and Show,0.9585293134361482
Lotus Petal,The One Ring,Omni-Tell,0.9504366410066187
Lotus Petal,The One Ring,Eldrazi,0.9419903824030317
Lotus Petal,The One Ring,4c Control,0.8396920351126752
Lotus Petal,The One Ring,Arclight Phoenix,0.8072675274936902
Manifold Key,The One Ring,Mystic Forge Combo,1
Manifold Key,The One Ring,Coveted Jewel Combo,1
Manifold Key,The One Ring,Painter,1
Manifold Key,The One Ring,Blue Artifacts,0.8072675274936902
Planar Nexus,Vexing Bauble,Mystic Forge Combo,1
Ancient Tomb,Planar Nexus,Mystic Forge Combo,1
Ancient Tomb,Planar Nexus,Painter,1
Ancient Tomb,Planar Nexus,Cloudpost,1
Planar Nexus,Voltaic Key,Mystic Forge Combo,1
Planar Nexus,Voltaic Key,Painter,0.9711749008703954
Planar Nexus,Urza's Saga,Mystic Forge Combo,1
Planar Nexus,Urza's Saga,Painter,1
Planar Nexus,Urza's Saga,Coveted Jewel Combo,1
Planar Nexus,Urza's Saga,Cloudpost,1
Mox Opal,Planar Nexus,Mystic Forge Combo,0.8119498630139683
Mox Opal,Planar Nexus,Painter,0.8072675274936902
Mox Opal,Planar Nexus,Coveted Jewel Combo,0.8072675274936902
Mystic Forge,Planar Nexus,Mystic Forge Combo,1
Planar Nexus,Urza's Tower,Mystic Forge Combo,1
Planar Nexus,Urza's Tower,Green Cloudpost,1
Planar Nexus,Urza's Tower,Painter,1
Planar Nexus,Urza's Tower,Coveted Jewel Combo,1
Lotus Petal,Planar Nexus,Mystic Forge Combo,1
Lotus Petal,Planar Nexus,Painter,1
Manifold Key,Planar Nexus,Mystic Forge Combo,1
Manifold Key,Planar Nexus,Painter,1
Manifold Key,Planar Nexus,Coveted Jewel Combo,1
Ancient Tomb,Vexing Bauble,Mystic Forge Combo,1
Ancient Tomb,Vexing Bauble,Red Stompy,1
Ancient Tomb,Vexing Bauble,Painter,1
Ancient Tomb,Vexing Bauble,Coveted Jewel Combo,1
Ancient Tomb,Vexing Bauble,Sneak and Show,0.8978285659772797
Ancient Tomb,Vexing Bauble,Eldrazi,0.8396920351126752
Ancient Tomb,Vexing Bauble,Omni-Tell,0.8072675274936902
Ancient Tomb,Vexing Bauble,Lands,0.36492585015945816
Vexing Bauble,Voltaic Key,Mystic Forge Combo,1
Urza's Saga,Vexing Bauble,Mystic Forge Combo,1
Urza's Saga,Vexing Bauble,Painter,1
Urza's Saga,Vexing Bauble,Lands,0.8072675274936902
Urza's Saga,Vexing Bauble,Depths,0.4414163670152236
